Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-060040,RCP-026674,"Town Of Summerfield, NC",North Carolina,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Cancelled,Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,making a new town hall,$0,$0
TPN-109638,RCP-035823,"Buncombe County, North Carolina",North Carolina,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,Emergency Shelter for Domestic Violence Survivors,2-Negative Economic Impacts,2.16-Long-Term Housing Security: Services for Unhoused persons,"Helpmate will provide housing support services for unhoused persons through its Emergency Shelter for Domestic Violence Survivors Project. This project includes the construction of the new shelter, which will double the availability of emergency shelter for domestic violence survivors in Buncombe County. Project funds will support costs associated with site infrastructure, architectural design, structural engineering, construction, finishing, furnishing and related costs to build a 25-30,000 sq. ft. domestic violence shelter on land owned by the organization. With 42 shelter beds plus a multi-purpose space for overflow, Helpmate will have capacity to serve 475 adults and children per year in the new facility.","$2,000,000","$2,000,000"
TPN-166853,RCP-036538,"Butler County, Ohio",Ohio,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,City of Oxford Food Pantry and Family Resource Center,2-Negative Economic Impacts,2.34-Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),To construct a new facility for the Talawanda Oxford pantry and social services resource center,"$1,500,000","$1,500,000"
TPN-139537,RCP-018151,"Clinton Township, OH",Ohio,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station #1,6-Revenue Replacement,6.1-Provision of Government Services,Funds used to build new fire station and township house,"$423,832","$423,832"
TPN-131541,RCP-038486,"Rogers County, Oklahoma",Oklahoma,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Rev Loss - Chelsea Fire,6-Revenue Replacement,6.1-Provision of Government Services,Purchase 4 new SCBA packs and construct new fire station,"$60,000","$60,000"
TPN-090212,RCP-007766,Town of Cornish,Oklahoma,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,NEW BUILDING FOR CITY HALL,6-Revenue Replacement,6.1-Provision of Government Services,BUILT A NEW CITY HALL FOR OUR COMMUNITY.,"$27,200","$27,200"
TPN-172230,RCP-036144,"Oklahoma County, Oklahoma",Oklahoma,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Revenue Replacement,6-Revenue Replacement,6.1-Provision of Government Services,"Oklahoma County elected to take the $10,000,000 standard allowance for Revenue Replace. The County has utilized $4.5M of the $10M allowance to purchase the land they intend to build the Medical and Behavioral Health Facility that will services the detainee population at the new County Jail site. The remaining land on the lot will be used to house the new jail site.","$4,500,000","$4,500,000"
TPN-197517,RCP-007640,City of Stilwell,Oklahoma,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,City Hall construction,6-Revenue Replacement,6.1-Provision of Government Services,"USDA loan facilitated new City Hall building for consolidation of city offices and services.  Used balance of ARPA funds as part of $610,855.68 in local revenue funds.","$412,957","$412,957"
TPN-172171,RCP-036122,"Clackamas County, Oregon",Oregon,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Molalla Adult Community Center Project,2-Negative Economic Impacts,2.37-Economic Impact Assistance: Other,"Molalla Adult Community Center (MACC) is a Non-Profit organization providing programs and services that help equip clients to stay independent as long as possible. MACC provides resources, assistance, social activities, and meals with a focus of aiding Seniors and those with physical disabilities in Molalla and the surrounding area including Mulino, Colton, Beavercreek, and rural Canby.  Our Advisory Board has purchased land in the Molalla City limits to build a new building to house the MACC. The project funding is for pre-construction site prep work on the construction of the new Molalla Adult Community Center.","$200,000","$122,853"
TPN-189079,RCP-039807,"Benton County, Oregon",Oregon,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Benton County Courthouse and District Attorney Office Project,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new Courthouse and District Attorney's Office to provide adequate space for delivering  publice safety and justice services for Benton County.,"$1,852,210",$0
TPN-062235,RCP-040453,State of Oregon,Oregon,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed,"East Umatilla Fire and Rescue, New Fire Station",6-Revenue Replacement,6.1-Provision of Government Services,Recipient shall build a new fire station.,"$4,900,000","$4,900,000"
TPN-048249,RCP-053688,"City Of Millersburg, OR",Oregon,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station Construction,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of new fire station with state-of-art HEPA and UV filtration, with facility design features to provide easy decontamination to minimize transfer of COVID and similar pathogens amongst fire and EMS employees.","$567,948","$567,948"
TPN-224503,RCP-053693,"City Of Monmouth, OR",Oregon,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Monmouth City Hall,6-Revenue Replacement,6.1-Provision of Government Services,Supplemental funding towards higher than anticipated construction costs of Monmouth's new city hall building due to supply chain issues and other inflationary demands.,"$450,000","$450,000"
TPN-167073,RCP-037408,"Johnstown, Pennsylvania",Pennsylvania,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Public Safety Facility,1-Public Health,1.14-Other Public Health Services,"Construct a new Public Safety building to replace old, outdated facility.","$17,000","$17,000"
TPN-056261,RCP-023167,"Pocopson Township, PA",Pennsylvania,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Township Building Infrastructure Project,6-Revenue Replacement,6.1-Provision of Government Services,Township is building a new municipal building.  Project includes physical building security and I.T. infrastructure.,"$99,465","$99,465"
