Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-283548,RCP-053271,"Coosa County, Al,",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Goodwater Volunteer Fire Department Facility,6-Revenue Replacement,6.1-Provision of Government Services,This project is to support a funding agreement with the Goodwater Volunteer Fire Department for the construction of new facility to provide more immediate services to its citizens and to provide an additional polling location in the Goodwater area to facilitate fair and equitable elections.,"$100,000",$0
TPN-219479,RCP-037689,"Barbour County, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Senior Center,6-Revenue Replacement,6.1-Provision of Government Services,"The County has received a Community Development Block Grant for the construction of a new senior center. This project is to provide for a federal match as required by that grant, including in-kind services, in support of the construction project. The County has further verified that there has been no waiver issued and no statute or regulation prohibits the use of these funds as part of the County's match.","$28,298","$28,298"
TPN-216364,RCP-040299,"Choctaw County, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Design Services for County Jail,6-Revenue Replacement,6.1-Provision of Government Services,"In order to provide for a constitutionally required jail facility, the County is building a new jail facility.  This project is to provide for design services for the new jail.","$368,900","$333,471"
TPN-155301,RCP-046809,"City Of Wetumpka, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Wetumpka Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Revenue replacement funds are being used as a provision to construct a new fire station to provide public safety services to the citizens and community.,"$1,000,082","$1,000,082"
TPN-096731,RCP-038110,"St. Clair County, Alabama",Alabama,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,New Jail Pell City,6-Revenue Replacement,6.1-Provision of Government Services,To be used to help pay for New Jail Construction Project,"$9,470,302","$9,470,302"
TPN-258595,RCP-038894,"Lee County, Alabama",Alabama,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,East Alabama Healthcare Authority Mental Health Center,1-Public Health,1.12-Mental Health Services,"This project is to provide mental health services to citizens in the county by contributing to the construction of a new mental health center. This new mental health center will provide additional inpatient bed space, including educational space for minor patients, and resources for outpatient treatment. This project will be carried out through a subrecipient, the East Alabama Healthcare Authority.","$4,131,607","$2,000,000"
TPN-276801,RCP-035632,"City Of Hartselle, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,New Library/Event Center,6-Revenue Replacement,6.1-Provision of Government Services,"Build new Library, to replace 1970's building and construct a new event center to be used by the public and for city programs.","$297,121","$297,121"
TPN-238396,RCP-036755,"Morgan County, Alabama",Alabama,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Morgan County-Decatur Farmer's Market,6-Revenue Replacement,6.1-Provision of Government Services,"Transfer of funds to the Decatur-Morgan County Farmer's Market Board, a quasi-governmental entity established by public ordinance, to construct a new facility for the operation of a farmer's market to support local industry.","$500,000","$500,000"
TPN-057268,RCP-036011,"City Of Tucson, Arizona",Arizona,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Poverello House of Tucson,2-Negative Economic Impacts,2.34-Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Grant funds will be used to purchase property obtain applicable permits and tear down and construct a new facility to provide expanded and accessible daytime services for unhoused individuals negatively impacted by the public health crisis,"$218,985","$218,985"
TPN-107661,RCP-049058,"City Of San Luis, Arizona",Arizona,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station #2,6-Revenue Replacement,6.1-Provision of Government Services,"The new fire station #2 is a 2400 square foot seven dorm fire station, including an apparatus parking structure, as well as on-site infrastructure, concrete, and asphalt paving.","$107,000","$107,000"
TPN-151549,RCP-039077,"Yuma, Arizona",Arizona,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station 7 Construction,1-Public Health,1.6-Medical Expenses (including Alternative Care Facilities),New Fire Station 7,"$2,000,000","$2,000,000"
TPN-067852,RCP-049078,"City Of Winslow, AZ",Arizona,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,General Government Services,6-Revenue Replacement,6.1-Provision of Government Services,"Funds will be used to update general programs and apparatus for community. Construct a new library to provide public programs for youth and adults, and access to free internet and wi-fi. The local schools and community programs will have access to the Library for youth programs  and summer programs.","$3,000,000","$3,000,000"
TPN-191109,RCP-035940,"County Of Washington, Ar",Arkansas,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Emergency Operations Center Construction,1-Public Health,1.14-Other Public Health Services,Washington County has been without an Emergency Operations Center for several years and wishes to use the remaining unobligated ARPA funds for the construction of a new Emergency Operations Center for the benefit of all Washington County citizens. (I'm unsure of the total capital expenditures for this project),"$5,857,233","$5,054,073"
TPN-211775,RCP-019669,"City Of Hoxie, AR",Arkansas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Misc,6-Revenue Replacement,6.1-Provision of Government Services,"The City of Hoxie paid the non-electric city employees a vaccine incentive for their hard work during the pandemic.   In addition, we built a new City Hall we used revenue replacement funds for the cost of purchase and installation on concrete, installation of a heat and unit, and counter tops","$56,394","$56,394"
TPN-217769,RCP-038054,"Poinsett County, AR",Arkansas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Courthouse Annex Building,6-Revenue Replacement,6.1-Provision of Government Services,Construction of a new Courthouse Annex Building to reduce faculty overcrowding of the current Courthouse. This building will allow  the County Assessor's Office and the County Collector's Office to move to a location that is ground level and reduce the climbing of dangerous stairs to assess property and collect taxes. A larger meeting room is included in the construction plans to allow for better social distancing and reduce the current overcrowding of our public meetings and Quorum Court meetings.,"$2,070,038","$892,769"
TPN-266526,RCP-025362,"Benton, AR",Arkansas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Animal Shelter,6-Revenue Replacement,6.1-Provision of Government Services,"The City Council voted to build of a new Animal Shelter with a cost of $2,265,575 while utilizing $500,000 of ARPA funds for the remaining $1,765,575 will be from General Revenues.  The contract was signed in late October 2024 and began at the end of December 2025 due to weather delays.  Projected completion date is late fall 2025.","$500,000",$0
TPN-132936,RCP-025601,"Walnut Ridge, AR",Arkansas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,"The City of Walnut Ridge used Revenue Replacement funding for the building a new fire station for the city. We issued a construction contract, and the project has been fully completed. All SLFRF funds were used for this project. We are very pleased with our new fire station and excited that we now have a fire station on the other side of our railroad tracks near our school.","$1,048,749","$1,048,749"
TPN-132821,RCP-053208,"City Of Conway, Arkansas",Arkansas,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station 3,6-Revenue Replacement,6.1-Provision of Government Services,Partial payment towards construction of a new Fire Station #3.,"$750,000","$750,000"
TPN-059614,RCP-000949,"County Of Calaveras,",California,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Cancelled,Animal Shelter,6-Revenue Replacement,6.1-Provision of Government Services,Design and construction of new Animal Shelter building to replace the current building that has exceeded its functional lifespan and no longer provides an optimal working and living space for employees and sheltered animals.,$0,$0
TPN-044344,RCP-047408,"San Carlos City, CA",California,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Fire Station 16 Replacement,6-Revenue Replacement,6.1-Provision of Government Services,"The San Carlos Fire Station 16 was built in 1958 and is in need of replacement to meet seismic standards for critical infrastructure.  The project includes an initial study, design, and construction of a new fire station at its current location.","$7,220,894","$7,220,894"
TPN-134983,RCP-036344,"City Of Fresno, California",California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Cancelled,Fire Station 12 Construction,6-Revenue Replacement,6.1-Provision of Government Services,"A new Fire Station 12 is being developed to replace existing Fire Station 12, that is inadequate in capability to support the growing needs of northwest Fresno. Fire Station 12\u2019s district emergency responses have increased beyond the capacity of the current station located at 2874 West Acacia Avenue, which at times as required assistance from units outside of Fire Station 12\u2019s district. The new Fire Station 12 will house eight crew members and include four pull-through apparatus bays to meet the service needs of northwest Fresno. The project will be delivered utilizing a design-bid-build method and will be designed by The Taylor Group Architects of Clovis, CA. Construction of the new station is scheduled for completion by the end of 2025.",$0,$0
TPN-052075,RCP-047393,"Rancho Palos Verdes City, CA",California,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Ladera Linda Park and Community Center,6-Revenue Replacement,6.1-Provision of Government Services,"This project is intended to replace the existing buildings located at the site with a new community center, refurbish the\ngrounds and consists of Removing the existing buildings and infrastructure; Building a new community center and\nassociated infrastructure; Building a new parking lot; and Building a new park and associated equipment","$4,154,294","$4,154,294"
TPN-120265,RCP-039809,"Menifee, California",California,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Revenue Loss: Fire Station #5,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of new Fire Station #5 to serve Quail Valley/AMR area of City. A construction contract has been awarded for this project, and construction has began. As update/correction to January 2024 report, during the July 2023 to December 2023 expenditures were $357,775 (encumbrances total, prior to expenditures $1,000,000), and for the period of January 2024 to April 2024, expenditures were $642,225 with the full encumbrance total used.\n\nAs of December 31, 2024 all ARPA funds towards this project has been expended. The project is in under final completion expected to be fully completed by February 2025.\n\nAs of June 30, 2025,  The project is substantially complete and pending final close out items. \n\nAs of October 31, 2025, the project is fully complete with a Notice of Completion filed.","$1,000,000","$1,000,000"
TPN-062071,RCP-047360,"Moorpark City, CA",California,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Cancelled,New Moorpark City Library,6-Revenue Replacement,6.1-Provision of Government Services,"The new Moorpark City Library will be a resource for education, information, and recreational needs to the community. It will also provide a space for the community to gather in the historic downtown of Moorpark. The new Library will be built just west of the Northwest corner of High Street and Moorpark Avenue in Moorpark, CA to replace the existing library nearby. The new Library's proposed site is approximately 2 acres with a proposed structure of 17,500 square feet. The new building will be one story and sit on a sloped site in the heart of downtown. It will take approximately three years to construct the library and will cost approximately $30,400,000 to build.",$0,$0
TPN-236115,RCP-036232,State Of Colorado,Colorado,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Cancelled,Denver Theodora Family Motel,2-Negative Economic Impacts,2.16-Long-Term Housing Security: Services for Unhoused persons,"Volunteers of America Colorado (VOAC) will develop the Theodora Family Motel in Denver to serve families with children and veterans experiencing homelessness with non-congregate shelter. This project will demolish an existing hotel shelter and construct a new facility on the same site. This project will expand the number of shelter rooms available and offer extensive services onsite including housing-focused case management, life skills, employment and educational services in addition to Head Start Home Based Services. The facility is in close proximity to Colorado Coalition for the Homeless West End Health Center which offers medical and behavioral health services to area residents. This project will expand shelter capacity in Denver and work with program participants on re-housing services to identify and transition participants into permanent housing.",$0,$0
TPN-121682,RCP-049140,"Ansonia, CT",Connecticut,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Police Department Construction,6-Revenue Replacement,6.1-Provision of Government Services,Unexpected infrastructure costs associated with the construction of the new Police Station not covered by bond issuance..,"$78,001","$78,001"
TPN-232939,RCP-038254,"West Hartford, Connecticut",Connecticut,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Elmwood Community Center,6-Revenue Replacement,6.1-Provision of Government Services,"The Town is building a new facility for the community for events, senior centers, etc. The Town completed a feasibility study, which is a detailed analysis that considers all of the critical aspects of a proposed project. The next step in this project would be to hire an architect to design the building, once the design is completed, the development  of the construction plans and specifications will be completed. The $3,000,000 is to hire the architect to design the building, produce the construction documents along with assisting with the bidding process. In addition, provide construction administration services during construction and to provide the as-build documents once the building is completed.","$2,997,149","$1,230,106"
TPN-116767,RCP-036116,"St. Johns County, Florida",Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,SW SR 207 Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Supplement costs associated with construction of new fire station on SR 207,"$2,500,000","$2,500,000"
TPN-200469,RCP-050663,"Cocoa Beach City, FL",Florida,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,City Hall,1-Public Health,1.14-Other Public Health Services,"Construction of a new city hall and public use greenspace to replace and enhance the daily lives of the residents and city employees who work in the building. Greenspace will allow an area for residents and employees to enjoy nature, and new working facilities will allow the city workers to do a better job. Community rooms and stage area allows for community and physical activities to be held. The new building is also the EOC center for any natural disaster, allowing a safe area for resident, employees, and operational staging.","$1,399,367","$1,009,143"
TPN-104872,RCP-050825,"Oakland Park City, Florida",Florida,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,,Fire Station 20 Project,6-Revenue Replacement,6.1-Provision of Government Services,Design and construct new Fire Station 20.,"$900,000","$900,000"
TPN-104883,RCP-039781,"Pinellas County, Florida",Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Palm Harbor Fire Station 68,6-Revenue Replacement,6.1-Provision of Government Services,Construction of a new fire station.,"$2,500,000","$2,500,000"
TPN-195314,RCP-050753,"Key West City, Florida",Florida,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Frederick Douglass Community Center,10-Title I,"10.2-Acquisition, construction, reconstruction, or installation of public works sites or other public purposes","Demolition of the existing Douglass Gym Extension and construction of new facility with community center and classrooms for learning and music located in Bahama Village, a culturally significant historic district.","$1,392,782","$1,392,782"
TPN-109025,RCP-036061,State Of Florida,Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed less than 50%,Artifact Facility,6-Revenue Replacement,6.1-Provision of Government Services,"The current Department of State (DOS) Artifact Facility at Mission San Luis is nearing capacity and is unsuitable for the continued long-term storage of public artifacts and archival collections. The state will build a new facility to improve public access to collections, including for the artifact loan program, for qualified professional and scholarly research, and for public educational programming.   This project supports the State's mission to promote the growth of the heritage and cultural component of Florida\u2019s tourism industry by supporting the artifact loan program, which loans objects from the collection free of charge to qualifying museums and institutions across the State.","$13,800,000","$2,643,573"
TPN-114234,RCP-050896,"Tarpon Springs City, Florida",Florida,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Fire Station 70 Design,6-Revenue Replacement,6.1-Provision of Government Services,Design for new Fire Station 70 Building,"$592,046","$485,603"
TPN-177235,RCP-036004,"Manatee County, Florida",Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,6.1-JulyMWST,6-Revenue Replacement,6.1-Provision of Government Services,Design and build  a new EMS Station  in the Moccasin Wallow area of Manatee County.  The demand for increased public safety and public health services is a direct result of population growth in Northern Manatee County.  Outside contractors will be used to perform this construction project and the building of an EMS station is a traditional government service.,"$2,898,358","$2,211,307"
TPN-003296,RCP-035896,"Orange County, Florida",Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Fire Station #80,6-Revenue Replacement,6.1-Provision of Government Services,"The project is for the construction of a 3-Bay Fire Station to replace the existing station located at 1841 Bonneville Dr, Orlando, FL 32826. The current station is a prefabricated metal building constructed in 1973. This building has exceeded its functional lifespan and no longer provides an optimal working and living environment for first responders. The design for the new fire station #80 was funded from Orange County. The project is complete.","$6,517,623","$6,517,623"
TPN-235340,RCP-035943,"Lake County, Florida",Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Montverde Fire Station 85,6-Revenue Replacement,6.1-Provision of Government Services,"Lake County entered an interlocal agreement in May 2021 with the Town of Montverde to begin providing Fire Protection and Rescue Services for the municipality, which replaced the long-standing volunteer department. As part of the agreement, the county agreed to construct a new facility, Fire Station 85, within the community. These funds will help to cover a portion of the construction costs of this brand-new fire station.","$1,757,542","$182,877"
TPN-252011,RCP-035951,"Marion County, Florida",Florida,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Not Started,College of Central Florida Nursing Facility,1-Public Health,1.14-Other Public Health Services,"Construct a new building located at 3001 S.W. College Road , Ocala FL 34474-4415 to provide additional instructional space for its nursing program;","$1,954,974","$1,582,610"
TPN-261787,RCP-050845,"Panama City Beach City, FL",Florida,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Fire Station #31,1-Public Health,1.14-Other Public Health Services,Build new Fire Station to better serve public,"$2,302,241","$2,302,241"
TPN-259199,RCP-035929,"Clay County, Florida",Florida,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station 20 Construction,1-Public Health,1.14-Other Public Health Services,"Construction of the new Fire Station 20, which is located at the intersection of Idlewood Avenue and Southwest Street in Green Cove Springs. This funding request is associated with the Phase 2 Construction Agreement with Ajax Building Company, LLC.","$836,356","$836,356"
TPN-030060,RCP-040167,"Liberty County, Georgia",Georgia,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Construction of an EMS Station,1-Public Health,1.7-Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Liberty County will contribute to the construction of a new EMS building.  This building has been designed and the bids were reviewed on 1/27/2022.  The Commissioners will award the bid at their meeting on 2/1/2022.  Total Project estimated at $2.5M,"$1,000,000","$1,000,000"
TPN-057222,RCP-039500,"Union County, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station 13,6-Revenue Replacement,6.1-Provision of Government Services,Build a new fire station with an ambulance bay and office for Sheriff's deputies. The purpose of this project is to build a new fire station with ambulance bays to serve the expanded population of the north end of the county. The outcome is to have shorter response times to emergencies in the most populated area of the county.,"$2,596,106","$2,596,106"
TPN-290768,RCP-025986,"Webster County Unified Government, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Department,6-Revenue Replacement,6.1-Provision of Government Services,New Fire Station,"$61,380","$61,380"
TPN-240478,RCP-037973,"Atkinson County, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Jail/Courthouse,1-Public Health,1.4-Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Building of a new jail with germ prevention in mind,"$883,714","$883,714"
TPN-147569,RCP-038346,"Hinesville, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Department - Fire Station,3-Public Health-Negative Economic Impact: Public Sector Capacity,3.4-Public Sector Capacity: Effective Service Delivery,Construction of New Fire Station that was designed to better serve during negative economic impacts or public health emergencies.,"$3,500,073","$3,500,073"
TPN-220989,RCP-039821,"Harris County, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,EMS/VFD Facility,1-Public Health,1.6-Medical Expenses (including Alternative Care Facilities),Construction of new EMS/VFD in the Northwest Harris Business Park,"$472,000","$472,000"
TPN-142945,RCP-037123,"Pickens County, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Talking Rock Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,To build a new fire station in the Talking Rock area,"$42,098","$42,098"
TPN-210775,RCP-026263,"Alamo, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New City Hall,6-Revenue Replacement,6.1-Provision of Government Services,"This project consists of building a new City Hall and Police Department for the City of Alamo, Pro Construction Company of Ga. LLC. remodeled an existing building that belonged to the City of Alamo on 7 West Main St., the total square footage of this completed project is 5885 square feet. The City Hall is 3011 square feet, the Police Dept. is 1276 square feet, the maintenance area is 1598 square feet. The new City Hall/ Police Department building will ensure the safety and security of city employees and residents of the City of Alamo. Approximately 35 jobs were created during the eight-month process of this project.  The expenses for this project were $756,012.11.","$756,012","$756,012"
TPN-089353,RCP-025781,"Lookout Mountain, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,City Hall Building Construction,6-Revenue Replacement,6.1-Provision of Government Services,Funds used to pay request #8 in construction of new City Hall building.,"$177,760","$177,760"
TPN-147085,RCP-025682,"Fairburn, GA",Georgia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,New Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,New Fire Station #23,"$2,104,104","$2,073,420"
TPN-136955,RCP-031718,"City Of Rupert, ID",Idaho,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,New Fire Station / 1st Responder Facility,1-Public Health,1.7-Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),"The City of Rupert's Fire Station is home to many of our City's first responders. At this time, the current Fire Station is inadequate and has deteriorated. The new station will be used for more modern equipment and as a community evacuation or temporary medical center in the event of natural disaster, pandemic or hospital overflow. This project is funded under the eligible use category of 'Responding to the public health emergency and its negative economic impacts' as outlined in the Final Rule for the SLFRF program. The construction of a new fire station enhances public safety infrastructure, improves emergency response times, and ensures continuity of critical services during public health emergencies or other crises. This project benefits communities that were disproportionately impacted by the pandemic and strengthens the locality\u2019s capacity to respond to future public health threats.","$1,205,461","$824,379"
TPN-223890,RCP-031694,"City Of Paris, ID",Idaho,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Foundation and Placing Modular House,6-Revenue Replacement,6.1-Provision of Government Services,Digging found and cement work for the foundation of new city hall. Placing  a triple wide modular house that given to the city on foundation. Old city hall is not ADA accessible.,"$55,305","$55,305"
TPN-273803,RCP-040107,"Custer County, ID",Idaho,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Custer County Jail,6-Revenue Replacement,6.1-Provision of Government Services,"Remaining funds of $771,914.96 were dedicated to help with the building of a new Jail for Custer County.  RFQ's were sent out on January 13, 2025, and 3 were received.  The commissioners have had several meetings for design and jail specifications.  The commissioners have not received any blueprints at this time. Custer County is in need of an upgraded jail.  The jail we now have is 125 years old and is out of compliance. We are hoping to get started this summer with a finish date of sometime in 2026.","$771,915",$0
TPN-122861,RCP-039876,"Jasper County, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Jail Construction Project Payment,6-Revenue Replacement,6.1-Provision of Government Services,"The Jasper County Jail was deteriorated to the point of being unusable.  The sheriff's office was sending copious amounts of money each month to other detention centers for housing individuals because their facility could not safely keep them.  The board decided to use part of their ARPA funds, in conjunction with money they had in reserves, to pay for the building of a new jail.  The construction and billing are coming in phases.  This project is nearing completion, but still has a bit to go.  Without ARPA funding, the county could not have afforded to pay for a new building from what they had saved.","$19,685","$19,685"
TPN-122644,RCP-039876,"Jasper County, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Jail Construction Project Payment #11,6-Revenue Replacement,6.1-Provision of Government Services,"The Jasper County Jail was deteriorated to the point of being unusable.  The sheriff's office was sending copious amounts of money each month to other detention centers for housing individuals because their facility could not safely keep them.  The board decided to use part of their ARPA funds, in conjunction with money they had in reserves, to pay for the building of a new jail.  The construction and billing are coming in phases.  This project is nearing completion, but still has a bit to go.  Without ARPA funding, the county could not have afforded to pay for a new building from what they had saved.","$197,722","$197,722"
TPN-282916,RCP-055882,"West Peoria City, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,New City Hall,6-Revenue Replacement,6.1-Provision of Government Services,"The City of West Peoria is constructing a new City Hall, funded in part by ARPA funds, to serve as a central hub for the community. The new facility will house all administrative services, general and emergency assistance\u2014including utility payment support for qualified residents\u2014council meetings, and a public community room. It will also feature a memorial wall honoring West Peoria veterans and serve as a meeting space for local organizations, reflecting the city's commitment to meeting residents' needs and fostering community engagement.\n\nPayments for this project were carefully structured and scheduled to ensure proper use of funds. All ARPA funds allocated to the project were utilized between September 13, 2024, and November 15, 2024.  Completion date of this project is scheduled to May 1, 2025.","$606,257","$606,257"
TPN-122762,RCP-039876,"Jasper County, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Jail Construction Project Payment #15,6-Revenue Replacement,6.1-Provision of Government Services,"The Jasper County Jail was deteriorated to the point of being unusable.  The sheriff's office was sending copious amounts of money each month to other detention centers for housing individuals because their facility could not safely keep them.  The board decided to use part of their ARPA funds, in conjunction with money they had in reserves, to pay for the building of a new jail.  The construction and billing are coming in phases.  This project is nearing completion, but still has a bit to go.  Without ARPA funding, the county could not have afforded to pay for a new building from what they had saved.","$119,318","$119,318"
TPN-080752,RCP-015839,"Loves Park City, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station #3,6-Revenue Replacement,6.1-Provision of Government Services,The City contracted to purchase an existing and vacant building for a new Fire station that is needed farther to the east side of our city. The Fire Department provides the primary ambulance service to our citizens and this location will allow better response times for a larger portion of our population. The purchase was completed in April 2022.,"$1,469,449","$1,469,449"
